iter	Passed	Remaining
856	1507	251
857	1508	249
858	1509	247
859	1510	245
860	1511	244
861	1512	242
862	1513	240
863	1514	238
864	1515	236
865	1516	234
866	1520	233
867	1521	231
868	1523	229
869	1524	227
870	1525	225
871	1526	224
872	1527	222
873	1528	220
874	1529	218
875	1530	216
876	1531	214
877	1532	212
878	1534	211
879	1536	209
880	1537	207
881	1538	205
882	1539	203
883	1541	202
884	1542	200
885	1543	198
886	1544	196
887	1545	194
888	1546	193
889	1547	191
890	1550	189
891	1551	187
892	1552	186
893	1553	184
894	1554	182
895	1555	180
896	1556	178
897	1557	176
898	1558	175
899	1559	173
900	1560	171
901	1561	169
902	1562	167
903	1565	166
904	1566	164
905	1567	162
906	1568	160
907	1569	159
908	1570	157
909	1572	155
910	1573	153
911	1574	151
912	1575	150
913	1576	148
914	1577	146
915	1580	144
916	1581	143
917	1582	141
918	1584	139
919	1585	137
920	1585	136
921	1586	134
922	1587	132
923	1588	130
924	1589	128
925	1591	127
926	1592	125
927	1595	123
928	1596	122
929	1597	120
930	1598	118
931	1599	116
932	1600	114
933	1601	113
934	1602	111
935	1603	109
936	1604	107
937	1605	106
938	1609	104
939	1610	102
940	1611	101
941	1613	99
942	1614	97
943	1615	95
944	1616	94
945	1617	92
946	1618	90
947	1620	88
948	1621	87
949	1622	85
950	1624	83
951	1626	82
952	1628	80
953	1629	78
954	1630	76
955	1632	75
956	1633	73
957	1634	71
958	1636	69
959	1637	68
960	1640	66
961	1642	64
962	1643	63
963	1644	61
964	1645	59
965	1646	57
966	1647	56
967	1648	54
968	1649	52
969	1650	51
970	1652	49
971	1653	47
972	1655	45
973	1656	44
974	1657	42
975	1658	40
976	1659	39
977	1660	37
978	1661	35
979	1662	33
980	1663	32
981	1665	30
982	1666	28
983	1667	27
984	1670	25
985	1671	23
986	1672	22
987	1673	20
988	1674	18
989	1675	16
990	1676	15
991	1677	13
992	1678	11
993	1679	10
994	1680	8
995	1681	6
996	1682	5
997	1684	3
998	1686	1
999	1687	0
